,movie,year,imdb,metascore,votes,n_imdb
1335,Taken,2008,7.8,50,505659,78.0
1336,The Curious Case of Benjamin Button,2008,7.8,70,489701,78.0
1337,Hancock,2008,6.4,49,369804,64.0
1338,Twilight,2008,5.2,56,363740,52.0
1339,The Hurt Locker,2008,7.6,94,355085,76.0
1340,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,65,354351,62.0
1341,Quantum of Solace,2008,6.6,58,350333,66.0
1342,The Incredible Hulk,2008,6.8,61,346014,68.0
1343,Kung Fu Panda,2008,7.6,73,333942,76.0
1344,In Bruges,2008,7.9,67,324734,79.0
1345,Tropic Thunder,2008,7.0,71,324191,70.0
1346,Cloverfield,2008,7.0,64,316398,70.0
1347,Wanted,2008,6.7,64,314635,67.0
1348,Yes Man,2008,6.8,46,286092,68.0
1349,Pineapple Express,2008,7.0,64,269914,70.0
1350,Burn After Reading,2008,7.0,63,261912,70.0
1351,The Wrestler,2008,7.9,81,260889,79.0
1352,Jumper,2008,6.1,35,254163,61.0
1353,Seven Pounds,2008,7.7,36,247105,77.0
1354,Forgetting Sarah Marshall,2008,7.2,67,228108,72.0
1355,Step Brothers,2008,6.9,51,225018,69.0
1356,Hellboy II: The Golden Army,2008,7.0,78,218731,70.0
1357,Vicky Cristina Barcelona,2008,7.1,70,210355,71.0
1358,Changeling,2008,7.8,63,208119,78.0
1359,RocknRolla,2008,7.3,53,204653,73.0
1360,Role Models,2008,6.9,61,200914,69.0
1361,The Reader,2008,7.6,58,200246,76.0
1362,21,2008,6.8,48,199660,68.0
1363,Valkyrie,2008,7.1,56,195265,71.0
1364,Rambo,2008,7.1,46,188321,71.0
1365,Body of Lies,2008,7.1,57,183611,71.0
1366,Ip Man,2008,8.1,59,182878,81.0
1367,Let the Right One In,2008,8.0,82,181685,80.0
1368,Get Smart,2008,6.5,54,175222,65.0
1369,Death Race,2008,6.4,43,174847,64.0
1370,The Happening,2008,5.0,34,172263,50.0
1371,You Don't Mess with the Zohan,2008,5.5,54,164436,55.0
1372,The Chronicles of Narnia: Prince Caspian,2008,6.6,62,160851,66.0
1373,Revolutionary Road,2008,7.3,69,160846,73.0
1374,Madagascar: Escape 2 Africa,2008,6.7,61,159289,67.0
1375,The Bank Job,2008,7.3,69,157771,73.0
1376,Eagle Eye,2008,6.6,43,157029,66.0
1377,Bolt,2008,6.9,67,156507,69.0
1378,Zack and Miri Make a Porno,2008,6.6,56,155783,66.0
1379,Mamma Mia!,2008,6.4,51,155194,64.0
1380,What Happens in Vegas,2008,6.1,36,147616,61.0
1381,The Boy in the Striped Pajamas,2008,7.8,55,146679,78.0
1382,The Day the Earth Stood Still,2008,5.5,40,145569,55.0
1383,Milk,2008,7.6,84,143995,76.0
1384,Transporter 3,2008,6.1,51,134616,61.0
1385,"Definitely, Maybe",2008,7.2,59,134038,72.0
1386,Vantage Point,2008,6.6,40,131892,66.0
1387,27 Dresses,2008,6.1,47,131853,61.0
1388,The Mummy: Tomb of the Dragon Emperor,2008,5.2,31,126770,52.0
1389,Marley & Me,2008,7.1,53,124020,71.0
1390,Defiance,2008,7.2,58,122474,72.0
1391,Harold & Kumar Escape from Guantanamo Bay,2008,6.6,57,118293,66.0
1392,"10,000 BC",2008,5.1,34,113379,51.0
1393,Horton Hears a Who!,2008,6.9,71,112059,69.0
1394,Max Payne,2008,5.4,31,111428,54.0
1395,Australia,2008,6.6,53,106786,66.0
1396,Doubt,2008,7.5,68,104862,75.0
1397,Sex and the City,2008,5.5,53,103145,55.0
1398,Street Kings,2008,6.8,55,97880,68.0
1399,The Strangers,2008,6.2,47,97488,62.0
1400,Bronson,2008,7.1,71,95413,71.0
1401,Saw V,2008,5.8,20,94245,58.0
1402,Ponyo,2008,7.7,86,93104,77.0
1403,Journey to the Center of the Earth,2008,5.8,57,92476,58.0
1404,Meet the Spartans,2008,2.7,9,92110,27.0
1405,Frost/Nixon,2008,7.7,80,91634,77.0
1406,The Forbidden Kingdom,2008,6.6,57,91584,66.0
1407,Mirrors,2008,6.2,35,90712,62.0
1408,The Other Boleyn Girl,2008,6.7,50,88878,67.0
1409,Babylon A.D.,2008,5.6,26,84947,56.0
1410,Never Back Down,2008,6.6,39,84673,66.0
1411,Be Kind Rewind,2008,6.4,52,82183,64.0
1412,The X Files: I Want to Believe,2008,5.9,47,81046,59.0
1413,Nick and Norah's Infinite Playlist,2008,6.7,64,78401,67.0
1414,Disaster Movie,2008,1.9,15,77619,19.0
1415,Bedtime Stories,2008,6.1,33,75990,61.0
1416,Righteous Kill,2008,6.0,36,75959,60.0
1417,Sex Drive,2008,6.5,49,75450,65.0
1418,The Spiderwick Chronicles,2008,6.6,62,73509,66.0
1419,Step Up 2: The Streets,2008,6.2,50,71156,62.0
1420,Semi-Pro,2008,5.8,47,69840,58.0
1421,Felon,2008,7.5,58,68014,75.0
1422,The House Bunny,2008,5.5,55,67608,55.0
1423,Outlander,2008,6.3,40,65862,63.0
1424,The Duchess,2008,6.9,62,65611,69.0
1425,Doomsday,2008,6.0,51,64967,60.0
1426,Fool's Gold,2008,5.7,29,63316,57.0
1427,Sunshine Cleaning,2008,6.9,61,63259,69.0
1428,How to Lose Friends & Alienate People,2008,6.5,35,62971,65.0
1429,Ghost Town,2008,6.7,72,62699,67.0
1430,"Synecdoche, New York",2008,7.5,67,62265,75.0
1431,The Ruins,2008,5.9,44,62106,59.0
1432,Blindness,2008,6.6,45,61851,66.0
1433,Speed Racer,2008,6.0,37,60520,60.0
1434,Quarantine,2008,6.0,53,60353,60.0
1435,Made of Honor,2008,5.9,37,57585,59.0
1436,City of Ember,2008,6.5,58,55622,65.0
1437,The Spirit,2008,4.8,30,55329,48.0
1438,Hunger,2008,7.6,82,55180,76.0
1439,Superhero Movie,2008,4.5,33,54770,45.0
1440,Pride and Glory,2008,6.7,45,54700,67.0
1441,Religulous,2008,7.7,56,54126,77.0
1442,Appaloosa,2008,6.8,64,52338,68.0
1443,Drillbit Taylor,2008,5.7,41,52186,57.0
1444,Punisher: War Zone,2008,6.0,30,51768,60.0
1445,Four Christmases,2008,5.6,41,51736,56.0
1446,The Midnight Meat Train,2008,6.1,58,50836,61.0
1447,Traitor,2008,7.0,60,50686,70.0
1448,Bangkok Dangerous,2008,5.4,24,49998,54.0
1449,Waltz with Bashir,2008,8.0,91,48491,80.0
1450,High School Musical 3: Senior Year,2008,4.5,57,46845,45.0
1451,The Eye,2008,5.4,36,46009,54.0
1452,Star Wars: The Clone Wars,2008,5.9,35,45297,59.0
1453,"Food, Inc.",2008,7.8,80,45009,78.0
1454,The Love Guru,2008,3.8,24,44747,38.0
1455,Transsiberian,2008,6.7,72,44540,67.0
1456,Man on Wire,2008,7.8,89,44365,78.0
1457,The Brothers Bloom,2008,6.8,55,43389,68.0
1458,Rachel Getting Married,2008,6.7,82,42651,67.0
1459,Untraceable,2008,6.2,32,42569,62.0
1460,Lakeview Terrace,2008,6.1,47,42463,61.0
1461,W.,2008,6.4,56,42286,64.0
1462,The Chaser,2008,7.9,64,41543,79.0
1463,"New York, I Love You",2008,6.3,49,40997,63.0
1464,Departures,2008,8.1,68,40874,81.0
1465,Gomorrah,2008,7.0,87,40239,70.0
1466,Red Cliff,2008,7.4,73,38739,74.0
1467,My Best Friend's Girl,2008,5.9,34,38553,59.0
1468,Baby Mama,2008,6.0,55,35747,60.0
1469,JCVD,2008,7.2,64,34355,72.0
1470,The Hottie & the Nottie,2008,1.9,7,34118,19.0
1471,Deception,2008,6.1,31,34076,61.0
1472,The Rocker,2008,6.2,53,33443,62.0
1473,Happy-Go-Lucky,2008,7.0,84,33344,70.0
1474,Meet Dave,2008,4.9,43,33268,49.0
1475,The Tale of Despereaux,2008,6.1,53,32285,61.0
1476,Nothing But the Truth,2008,7.2,64,32021,72.0
1477,The Baader Meinhof Complex,2008,7.4,76,31203,74.0
1478,Two Lovers,2008,7.1,74,31159,71.0
1479,The Class,2008,7.5,92,30521,75.0
1480,Passengers,2008,5.9,40,29439,59.0
1481,Nim's Island,2008,6.0,55,29322,60.0
1482,Choke,2008,6.5,47,29322,65.0
1483,Prom Night,2008,3.9,17,28955,39.0
1484,Chaos Theory,2008,6.7,44,28793,67.0
1485,Che: Part Two,2008,6.9,64,28707,69.0
1486,Leatherheads,2008,6.0,56,28491,60.0
1487,Splinter,2008,6.1,58,28313,61.0
1488,Shutter,2008,5.2,37,28292,52.0
1489,The Good the Bad the Weird,2008,7.3,69,28022,73.0
1490,Mesrine Part 1: Killer Instinct,2008,7.6,71,27996,76.0
1491,Pathology,2008,6.0,55,27869,60.0
1492,One Missed Call,2008,3.9,24,27729,39.0
1493,On-Bak 2,2008,6.2,47,26020,62.0
1494,Mesrine Part 2: Public Enemy #1,2008,7.5,72,24843,75.0
1495,Dear Zachary: A Letter to a Son About His Father,2008,8.6,82,24755,86.0
1496,Pontypool,2008,6.7,54,24107,67.0
1497,The Sisterhood of the Traveling Pants 2,2008,6.2,63,23581,62.0
1498,Inglourious Basterds,2009,8.3,69,971747,83.0
1499,Avatar,2009,7.8,83,943308,78.0
1500,Up,2009,8.3,88,731525,83.0
1501,The Hangover,2009,7.8,73,616406,78.0
1502,District 9,2009,8.0,81,561230,80.0
1503,Star Trek,2009,8.0,82,529523,80.0
1504,Sherlock Holmes,2009,7.6,57,505880,76.0
1505,Watchmen,2009,7.6,56,413841,76.0
1506,Zombieland,2009,7.7,73,413589,77.0
1507,500 Days of Summer,2009,7.7,76,402775,77.0
1508,X-Men Origins: Wolverine,2009,6.7,40,392937,67.0
1509,Harry Potter and the Half-Blood Prince,2009,7.5,78,355509,75.0
1510,Transformers: Revenge of the Fallen,2009,6.0,35,340131,60.0
1511,2012,2009,5.8,49,300499,58.0
1512,Terminator Salvation,2009,6.6,49,299161,66.0
1513,Up in the Air,2009,7.4,83,281120,74.0
1514,Moon,2009,7.9,67,279890,79.0
1515,The Proposal,2009,6.7,48,244235,67.0
1516,3 Idiots,2009,8.4,67,244102,84.0
1517,Public Enemies,2009,7.0,70,242081,70.0
1518,The Blind Side,2009,7.7,53,239587,77.0
1519,The Twilight Saga: New Moon,2009,4.6,44,230608,46.0
1520,Law Abiding Citizen,2009,7.4,34,230081,74.0
1521,Angels & Demons,2009,6.7,48,229845,67.0
1522,Fast & Furious,2009,6.6,46,220265,66.0
1523,Knowing,2009,6.2,41,195463,62.0
1524,The Road,2009,7.3,64,188963,73.0
1525,The Girl with the Dragon Tattoo,2009,7.8,76,183275,78.0
1526,G.I. Joe: The Rise of Cobra,2009,5.8,32,181266,58.0
1527,Ice Age: Dawn of the Dinosaurs,2009,7.0,50,180020,70.0
1528,The Ugly Truth,2009,6.5,28,174050,65.0
1529,"I Love You, Man",2009,7.0,70,173359,70.0
1530,Mr. Nobody,2009,7.9,63,169555,79.0
1531,Drag Me to Hell,2009,6.6,83,165275,66.0
1532,Cloudy with a Chance of Meatballs,2009,7.0,66,164828,70.0
1533,The Taking of Pelham 123,2009,6.4,55,159055,64.0
1534,Coraline,2009,7.7,80,158501,77.0
1535,Surrogates,2009,6.3,45,156206,63.0
1536,Orphan,2009,7.0,42,155083,70.0
1537,17 Again,2009,6.4,48,153891,64.0
1538,Fantastic Mr. Fox,2009,7.8,83,151592,78.0
1539,The Secret in Their Eyes,2009,8.2,80,146636,82.0
1540,Night at the Museum: Battle of the Smithsonian,2009,5.9,42,141497,59.0
1541,He's Just Not That Into You,2009,6.4,47,138650,64.0
1542,Adventureland,2009,6.8,76,137991,68.0
1543,The Lovely Bones,2009,6.7,42,131743,67.0
1544,Invictus,2009,7.4,74,131259,74.0
1545,Underworld: Rise of the Lycans,2009,6.6,44,131029,66.0
1546,The Imaginarium of Doctor Parnassus,2009,6.8,65,130883,68.0
1547,Pandorum,2009,6.8,28,127687,68.0
1548,Brüno,2009,5.8,54,124829,58.0
1549,Monsters vs. Aliens,2009,6.5,56,122338,65.0
1550,The Time Traveler's Wife,2009,7.1,47,121611,71.0
1551,Crank: High Voltage,2009,6.2,41,120097,62.0
1552,State of Play,2009,7.1,64,118003,71.0
1553,Gamer,2009,5.8,27,117744,58.0
1554,An Education,2009,7.3,85,116379,73.0
1555,9,2009,7.1,60,116207,71.0
1556,The Men Who Stare at Goats,2009,6.2,54,113738,62.0
1557,Daybreakers,2009,6.5,57,109678,65.0
1558,A Serious Man,2009,7.0,79,109025,70.0
1559,Funny People,2009,6.3,60,103744,63.0
1560,The Invention of Lying,2009,6.4,58,98653,64.0
1561,Jennifer's Body,2009,5.1,47,97311,51.0
1562,The Princess and the Frog,2009,7.1,73,96496,71.0
1563,Antichrist,2009,6.6,49,95014,66.0
1564,Pirate Radio,2009,7.4,58,95004,74.0
1565,Push,2009,6.1,36,94682,61.0
1566,Brothers,2009,7.1,58,93714,71.0
1567,Precious,2009,7.3,79,92284,73.0
1568,A Single Man,2009,7.6,77,91246,76.0
1569,Where the Wild Things Are,2009,6.8,71,91110,68.0
1570,Paul Blart: Mall Cop,2009,5.2,39,88462,52.0
1571,Couples Retreat,2009,5.5,23,87005,55.0
1572,Julie & Julia,2009,7.0,66,84997,70.0
1573,Bride Wars,2009,5.5,24,84918,55.0
1574,Splice,2009,5.8,66,82566,58.0
1575,The International,2009,6.5,52,82553,65.0
1576,A Prophet,2009,7.9,90,82297,79.0
1577,I Love You Phillip Morris,2009,6.6,65,81721,66.0
1578,Saw VI,2009,6.0,30,81631,60.0
1579,The Final Destination,2009,5.2,30,80195,52.0
1580,A Christmas Carol,2009,6.8,55,79900,68.0
1581,Year One,2009,4.9,34,79565,49.0
1582,Friday the 13th,2009,5.6,34,79493,56.0
1583,The Box,2009,5.6,47,79250,56.0
1584,My Sister's Keeper,2009,7.4,51,79060,74.0
1585,The Girl Who Played with Fire,2009,7.2,66,77893,72.0
1586,Harry Brown,2009,7.2,55,76821,72.0
1587,It's Complicated,2009,6.6,57,73529,66.0
1588,Crazy Heart,2009,7.3,83,72341,73.0
1589,The Last House on the Left,2009,6.6,42,72129,66.0
1590,Ghosts of Girlfriends Past,2009,5.8,34,71142,58.0
1591,Youth in Revolt,2009,6.5,63,67197,65.0
1592,Bad Lieutenant: Port of Call New Orleans,2009,6.7,69,67088,67.0
1593,The Uninvited,2009,6.4,43,66039,64.0
1594,Confessions of a Shopaholic,2009,5.9,38,66038,59.0
1595,The Fourth Kind,2009,5.9,34,65774,59.0
1596,Case 39,2009,6.2,25,64398,62.0
1597,Whatever Works,2009,7.2,45,62309,72.0
1598,Solomon Kane,2009,6.1,48,61605,61.0
1599,The Human Centipede (First Sequence),2009,4.4,33,61203,44.0
1600,Ninja Assassin,2009,6.4,34,60558,64.0
1601,Dragonball: Evolution,2009,2.6,45,60034,26.0
1602,Chloe,2009,6.3,48,59466,63.0
1603,A Perfect Getaway,2009,6.5,63,59054,65.0
1604,[Rec] 2,2009,6.6,52,58702,66.0
1605,Whip It,2009,6.9,68,57783,69.0
1606,Dead Snow,2009,6.3,61,57329,63.0
1607,The White Ribbon,2009,7.8,82,56907,78.0
1608,The Girl Who Kicked the Hornet's Nest,2009,7.3,60,56405,73.0
1609,Agora,2009,7.2,55,56179,72.0
1610,The Boondock Saints II: All Saints Day,2009,6.3,24,55455,63.0
1611,The Informant!,2009,6.5,66,54954,65.0
1612,Brooklyn's Finest,2009,6.7,43,54869,67.0
1613,Land of the Lost,2009,5.4,32,54274,54.0
1614,Observe and Report,2009,5.8,54,54087,58.0
1615,The Haunting in Connecticut,2009,5.9,33,52630,59.0
1616,Everybody's Fine,2009,7.2,47,52319,72.0
1617,Dogtooth,2009,7.3,73,52000,73.0
1618,Fanboys,2009,6.6,45,51575,66.0
1619,Enter the Void,2009,7.3,69,50914,73.0
1620,Fish Tank,2009,7.3,81,50912,73.0
1621,The Young Victoria,2009,7.3,64,48519,73.0
1622,My Bloody Valentine,2009,5.5,51,47377,55.0
1623,Away We Go,2009,7.1,58,47353,71.0
1624,The Collector,2009,6.4,29,46584,64.0
1625,In the Loop,2009,7.5,83,46577,75.0
1626,Valhalla Rising,2009,6.0,61,46416,60.0
1627,Race to Witch Mountain,2009,5.7,52,46137,57.0
1628,The Soloist,2009,6.7,61,45607,67.0
1629,The Unborn,2009,4.8,30,43932,48.0
1630,Planet 51,2009,6.1,39,43339,61.0
1631,Duplicity,2009,6.2,69,42938,62.0
1632,The Cove,2009,8.5,84,42418,85.0
1633,Extract,2009,6.2,61,39214,62.0
1634,Nine,2009,5.8,49,38795,58.0
1635,Halloween II,2009,4.9,35,38767,49.0
1636,District 13: Ultimatum,2009,6.5,64,38757,65.0
1637,Fired Up!,2009,6.2,31,38520,62.0
1638,Black Dynamite,2009,7.4,65,38069,74.0
1639,Cirque du Freak: The Vampire's Assistant,2009,5.9,43,37571,59.0
1640,Capitalism: A Love Story,2009,7.4,61,37121,74.0
1641,The Pink Panther 2,2009,5.6,36,35331,56.0
1642,G-Force,2009,5.1,41,35072,51.0
1643,The Joneses,2009,6.5,55,34865,65.0
1644,The Damned United,2009,7.6,81,34588,76.0
1645,All About Steve,2009,4.8,17,34554,48.0
1646,This Is It,2009,7.3,67,34288,73.0
1647,Alvin and the Chipmunks: The Squeakquel,2009,4.5,41,34142,45.0
1648,Spread,2009,5.9,43,33921,59.0
1649,Notorious,2009,6.7,60,33911,67.0
1650,Middle Men,2009,6.6,60,33769,66.0
1651,Hannah Montana: The Movie,2009,4.3,47,33727,43.0
1652,Coco Before Chanel,2009,6.7,65,33618,67.0
1653,Thirst,2009,7.1,73,33470,71.0
1654,World's Greatest Dad,2009,6.9,69,33344,69.0
1655,Broken Embraces,2009,7.2,76,33074,72.0
1656,Defendor,2009,6.8,57,32686,68.0
1657,The House of the Devil,2009,6.4,73,32660,64.0
1658,Old Dogs,2009,5.4,19,32437,54.0
1659,After.Life,2009,5.9,36,32328,59.0
1660,Did You Hear About the Morgans?,2009,4.8,27,31182,48.0
1661,Mother,2009,7.8,79,30992,78.0
1662,Soul Kitchen,2009,7.3,76,30897,73.0
1663,Inception,2010,8.8,74,1602376,88.0
1664,Shutter Island,2010,8.1,63,867270,81.0
1665,Toy Story 3,2010,8.3,92,593956,83.0
1666,Black Swan,2010,8.0,79,586236,80.0
1667,Iron Man 2,2010,7.0,57,563434,70.0
1668,The King's Speech,2010,8.0,88,538724,80.0
1669,How to Train Your Dragon,2010,8.1,74,530195,81.0
1670,The Social Network,2010,7.7,95,514777,77.0
1671,Kick-Ass,2010,7.7,66,460622,77.0
1672,Despicable Me,2010,7.7,72,415995,77.0
1673,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,361680,77.0
1674,Alice in Wonderland,2010,6.5,53,327806,65.0
1675,Tangled,2010,7.8,71,320311,78.0
1676,Easy A,2010,7.1,72,297749,71.0
1677,The Town,2010,7.6,74,296715,76.0
1678,127 Hours,2010,7.6,82,296283,76.0
1679,Scott Pilgrim vs. the World,2010,7.5,69,296151,75.0
1680,The Fighter,2010,7.8,79,292167,78.0
1681,The Expendables,2010,6.5,45,285557,65.0
1682,Due Date,2010,6.6,51,284742,66.0
1683,TRON: Legacy,2010,6.8,49,275772,68.0
1684,Salt,2010,6.4,65,257509,64.0
1685,True Grit,2010,7.6,80,256970,76.0
1686,RED,2010,7.1,60,251985,71.0
1687,The Book of Eli,2010,6.9,53,243554,69.0
1688,Clash of the Titans,2010,5.8,39,239847,58.0
1689,Prince of Persia: The Sands of Time,2010,6.6,50,235081,66.0
1690,Robin Hood,2010,6.7,53,222670,67.0
1691,Insidious,2010,6.8,52,222480,68.0
1692,The A-Team,2010,6.8,47,220593,68.0
1693,The Other Guys,2010,6.7,64,201760,67.0
1694,The Twilight Saga: Eclipse,2010,4.9,58,194145,49.0
1695,Grown Ups,2010,6.0,30,192156,60.0
1696,The Tourist,2010,6.0,37,187936,60.0
1697,Megamind,2010,7.3,63,185827,73.0
1698,Predators,2010,6.4,51,181168,64.0
1699,Machete,2010,6.6,60,171975,66.0
1700,Unstoppable,2010,6.8,69,158785,68.0
1701,Knight and Day,2010,6.3,46,156258,63.0
1702,The Next Three Days,2010,7.4,52,154046,74.0
1703,Blue Valentine,2010,7.4,81,152844,74.0
1704,Get Him to the Greek,2010,6.4,65,152839,64.0
1705,Love & Other Drugs,2010,6.7,55,152822,67.0
1706,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,150434,59.0
1707,Shrek Forever After,2010,6.3,58,148574,63.0
1708,Hot Tub Time Machine,2010,6.4,63,144514,64.0
1709,Resident Evil: Afterlife,2010,5.9,37,142290,59.0
1710,The Ghost Writer,2010,7.2,77,138882,72.0
1711,Tucker and Dale vs Evil,2010,7.6,65,138198,76.0
1712,Date Night,2010,6.3,56,134134,63.0
1713,The Sorcerer's Apprentice,2010,6.1,46,131818,61.0
1714,The Karate Kid,2010,6.2,61,129696,62.0
1715,The Last Airbender,2010,4.2,20,126143,42.0
1716,Buried,2010,7.0,65,126017,70.0
1717,Remember Me,2010,7.2,40,120232,72.0
1718,Never Let Me Go,2010,7.2,69,117461,72.0
1719,Winter's Bone,2010,7.2,90,117311,72.0
1720,Green Zone,2010,6.8,63,115273,68.0
1721,The Kids Are All Right,2010,7.1,86,114750,71.0
1722,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,114669,63.0
1723,It's Kind of a Funny Story,2010,7.1,63,114607,71.0
1724,Dear John,2010,6.3,43,114007,63.0
1725,Devil,2010,6.3,44,111043,63.0
1726,She's Out of My League,2010,6.4,46,106440,64.0
1727,The Bounty Hunter,2010,5.5,22,102780,55.0
1728,Life as We Know It,2010,6.6,39,102386,66.0
1729,From Paris with Love,2010,6.5,42,101498,65.0
1730,Valentine's Day,2010,5.7,34,99855,57.0
1731,Let Me In,2010,7.2,79,98035,72.0
1732,The Crazies,2010,6.5,55,97334,65.0
1733,Incendies,2010,8.2,80,94835,82.0
1734,The Way Back,2010,7.3,66,93334,73.0
1735,The Wolfman,2010,5.8,43,92599,58.0
1736,Repo Men,2010,6.3,32,90973,63.0
1737,Little Fockers,2010,5.5,27,90645,55.0
1738,Wall Street: Money Never Sleeps,2010,6.2,59,87736,62.0
1739,Paranormal Activity 2,2010,5.7,53,86293,57.0
1740,Legion,2010,5.2,32,84823,52.0
1741,Faster,2010,6.5,44,84544,65.0
1742,Dinner for Schmucks,2010,5.9,56,83972,59.0
1743,Hereafter,2010,6.5,56,82839,65.0
1744,The Switch,2010,6.1,52,82734,61.0
1745,The American,2010,6.3,61,82447,63.0
1746,I Saw the Devil,2010,7.8,67,79683,78.0
1747,Monsters,2010,6.4,63,79662,64.0
1748,My Name Is Khan,2010,8.0,50,79568,80.0
1749,A Nightmare on Elm Street,2010,5.2,35,79117,52.0
1750,Edge of Darkness,2010,6.6,55,79069,66.0
1751,Letters to Juliet,2010,6.6,50,79023,66.0
1752,Skyline,2010,4.4,26,78244,44.0
1753,Beginners,2010,7.2,81,77967,72.0
1754,The Losers,2010,6.4,44,77910,64.0
1755,Ip Man 2,2010,7.6,67,77749,76.0
1756,Cop Out,2010,5.6,31,77637,56.0
1757,Leap Year,2010,6.5,33,76601,65.0
1758,Killers,2010,5.4,21,76398,54.0
1759,Piranha 3D,2010,5.5,53,75805,55.0
1760,Biutiful,2010,7.5,58,73506,75.0
1761,Saw 3D: The Final Chapter,2010,5.6,24,72652,56.0
1762,Submarine,2010,7.3,76,71856,73.0
1763,Elite Squad: The Enemy Within,2010,8.1,71,70107,81.0
1764,Legend of the Guardians: The Owls of Ga'Hoole,2010,7.0,53,69070,70.0
1765,Eat Pray Love,2010,5.7,50,68826,57.0
1766,Centurion,2010,6.4,62,68331,64.0
1767,Flipped,2010,7.7,45,66191,77.0
1768,The Last Song,2010,5.9,33,65382,59.0
1769,Burlesque,2010,6.4,47,65103,64.0
1770,Super,2010,6.8,50,65039,68.0
1771,Sex and the City 2,2010,4.3,27,62908,43.0
1772,Morning Glory,2010,6.5,57,61991,65.0
1773,I Spit on Your Grave,2010,6.3,27,60792,63.0
1774,Four Lions,2010,7.3,68,60468,73.0
1775,Inside Job,2010,8.3,88,59897,83.0
1776,The Secret World of Arrietty,2010,7.6,80,58772,76.0
1777,Trollhunter,2010,7.0,61,58202,70.0
1778,The Debt,2010,6.9,65,57541,69.0
1779,Frozen,2010,6.2,43,56419,62.0
1780,Gulliver's Travels,2010,4.9,33,55764,49.0
1781,Exit Through the Gift Shop,2010,8.0,85,54562,80.0
1782,13 Assassins,2010,7.6,84,53566,76.0
1783,When in Rome,2010,5.5,25,53389,55.0
1784,Going the Distance,2010,6.3,51,52175,63.0
1785,Charlie St. Cloud,2010,6.5,37,50324,65.0
1786,Jackass 3D,2010,7.1,56,49857,71.0
1787,Step Up 3D,2010,6.2,45,49720,62.0
1788,Takers,2010,6.2,45,49312,62.0
1789,Senna,2010,8.6,79,48967,86.0
1790,Jonah Hex,2010,4.7,33,48058,47.0
1791,Animal Kingdom,2010,7.3,83,47976,73.0
1792,Hesher,2010,7.1,45,45848,71.0
1793,All Good Things,2010,6.3,57,44622,63.0
1794,The Last Exorcism,2010,5.6,63,43284,56.0
1795,You Again,2010,5.8,28,43185,58.0
1796,Everything Must Go,2010,6.4,65,42992,64.0
1797,The Back-up Plan,2010,5.3,34,42855,53.0
1798,Rabbit Hole,2010,7.0,76,42452,70.0
1799,Don't Be Afraid of the Dark,2010,5.6,56,42271,56.0
1800,London Boulevard,2010,6.2,52,42118,62.0
1801,Last Night,2010,6.6,50,41442,66.0
1802,The Runaways,2010,6.6,65,41237,66.0
1803,Vampires Suck,2010,3.5,18,40700,35.0
1804,Fair Game,2010,6.8,69,40432,68.0
1805,You Will Meet a Tall Dark Stranger,2010,6.3,51,38539,63.0
1806,The Company Men,2010,6.8,69,38343,68.0
1807,Death at a Funeral,2010,5.7,51,38189,57.0
1808,Black Death,2010,6.4,71,37940,64.0
1809,Somewhere,2010,6.3,67,37564,63.0
1810,MacGruber,2010,5.5,43,37465,55.0
1811,How Do You Know,2010,5.4,46,37056,54.0
1812,Conviction,2010,7.2,61,36754,72.0
1813,Catfish,2010,7.1,65,36736,71.0
1814,Stake Land,2010,6.5,66,36457,65.0
1815,Trust,2010,6.9,60,36382,69.0
1816,Stone,2010,5.4,58,36193,54.0
1817,13,2010,6.1,29,36063,61.0
1818,The Ward,2010,5.6,38,35615,56.0
1819,Diary of a Wimpy Kid,2010,6.2,56,34681,62.0
1820,In a Better World,2010,7.7,65,34308,77.0
1821,Tooth Fairy,2010,5.0,36,32835,50.0
1822,The Spy Next Door,2010,5.4,27,32573,54.0
1823,Wild Target,2010,6.9,41,31586,69.0
1824,Cyrus,2010,6.3,74,31119,63.0
1825,Greenberg,2010,6.1,76,30980,61.0
1826,The Killer Inside Me,2010,6.1,53,29838,61.0
1827,The Illusionist,2010,7.5,82,29737,75.0
1828,Rubber,2010,5.8,59,28046,58.0
1829,"Tomorrow, When the War Began",2010,6.2,54,27806,62.0
1830,Happythankyoumoreplease,2010,6.8,45,27164,68.0
1831,6 Souls,2010,6.1,28,27029,61.0
1832,The Whistleblower,2010,7.2,59,26562,72.0
1833,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,598312,81.0
1834,Thor,2011,7.0,57,577365,70.0
1835,The Intouchables,2011,8.6,57,566517,86.0
1836,X-Men: First Class,2011,7.8,65,555265,78.0
1837,Captain America: The First Avenger,2011,6.9,66,554722,69.0
1838,Drive,2011,7.8,78,466157,78.0
1839,Limitless,2011,7.4,59,448800,74.0
1840,Rise of the Planet of the Apes,2011,7.6,68,429953,76.0
1841,Source Code,2011,7.5,74,409107,75.0
1842,Pirates of the Caribbean: On Stranger Tides,2011,6.7,45,402443,67.0
1843,"Crazy, Stupid, Love.",2011,7.4,68,400025,74.0
1844,The Hangover Part II,2011,6.5,44,397839,65.0
